name,description,RecoveryCapacity,RecoveryTime,RecoveryCost,lon,lat,Location
Police headquarters in Kuala Langat,4,1,1,1,101.4944861,2.80495,"101.4944861, 2.80495"
Banting Fire and Rescue Station,5,1,1,1,101.5058569,2.8145504,"101.5058569, 2.8145504"
Klinik Desa Morib,2,1,1,1,101.4472454,2.7465054,"101.4472454, 2.7465054"
Klinik Kesihatan Kanchong Darat,2,1,1,1,101.4885906,2.7888128,"101.4885906, 2.7888128"
Banting Health Office,1,1,1,1,101.493342,2.80222,"101.493342, 2.80222"
Pusat Promosi Kesihatan Komuniti,1,1,1,1,101.5172342,2.8189276,"101.5172342, 2.8189276"
Klinik Kesihatan Telok Datok,2,1,1,1,101.5175279,2.819548,"101.5175279, 2.819548"
Klinik Kesihatan Kampung Bandar,2,1,1,1,101.4444968,2.851134,"101.4444968, 2.851134"
Klinik Kesihatan Jenjarom,2,1,1,1,101.5004566,2.8784339,"101.5004566, 2.8784339"
Jabatan Pertahanan Awam Malaysia,4,1,1,1,101.4446913,2.7539652,"101.4446913, 2.7539652"
PPU MORIB,3,1,1,1,101.4456159,2.7495956,"101.4456159, 2.7495956"
Genting Sanyen Power Sdn Bhd,5,1,1,1,101.495796,2.803589,"101.495796, 2.803589"
PMU BANTING,3,1,1,1,101.5357937,2.8346014,"101.5357937, 2.8346014"
Pmu Olak Lempit,3,1,1,1,101.5790202,2.8460588,"101.5790202, 2.8460588"
Titron Rubber Industries (M) Sdn Bhd,4,1,1,1,101.4705759,2.8499104,"101.4705759, 2.8499104"
NY CONTAINER SPECIALIST SDN. BHD.,4,1,1,1,101.50903,2.863436,"101.50903, 2.863436"
Express Mix Concrete (M) S/B,4,1,1,1,101.5163578,2.8550036,"101.5163578, 2.8550036"
Boh Plantation Sdn Bhd,4,1,1,1,101.5766099,2.915919,"101.5766099, 2.915919"
SHOWA DENKO CARBON Malaysia Sdn. Bhd.,4,1,1,1,101.5533646,2.8339468,"101.5533646, 2.8339468"
Kilang Kopi Fama,3,1,1,1,101.4781128,2.7806734,"101.4781128, 2.7806734"
Bridgex Sdn. Bhd (Precast Factory),4,1,1,1,101.599467,2.8251682,"101.599467, 2.8251682"
Ice Factory,4,1,1,1,101.6318205,2.8265261,"101.6318205, 2.8265261"
Genting Sanyen Power Sdn Bhd,4,1,1,1,101.649799,2.79789,"101.649799, 2.79789"
GS Paperboard & Packaging Sdn Bhd,4,1,1,1,101.651312,2.802718,"101.651312, 2.802718"
TNB Large Scale Solar Farm,5,1,1,1,101.6152862,2.7885771,"101.6152862, 2.7885771"
Kuala Langat Power Plant,5,1,1,1,101.648849,2.798169,"101.648849, 2.798169"
SYABAS Kuala Langat,2,1,1,1,101.5219313,2.8196628,"101.5219313, 2.8196628"
